Interference and Diffraction Data File Wed, Nov 03, 2021 3:31 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	0.03053
0.00000	0.02409
0.00000	0.02924
0.00000	0.02892
0.00006	0.02779
0.00006	0.02940
0.00011	0.03198
0.00011	0.02844
0.00011	0.02892
0.00017	0.02908
0.00017	0.03069
0.00022	0.03214
0.00022	0.03150
0.00022	0.02860
0.00028	0.03391
0.00028	0.03166
0.00028	0.02683
0.00033	0.02506
0.00033	0.03037
0.00039	0.03037
0.00039	0.02473
0.00039	0.02763
0.00044	0.02973
0.00044	0.03150
0.00044	0.02506
0.00050	0.02650
0.00050	0.02747
0.00056	0.02361
0.00056	0.02280
0.00056	0.02441
0.00061	0.02522
0.00061	0.01732
0.00061	0.02119
0.00067	0.02409
0.00067	0.02312
0.00067	0.02344
0.00072	0.02087
0.00072	0.02457
0.00072	0.01491
0.00078	0.02393
0.00078	0.02361
0.00083	0.01748
0.00083	0.01990
0.00083	0.01845
0.00089	0.01571
0.00089	0.02151
0.00094	0.01330
0.00094	0.01732
0.00094	0.01458
0.00100	0.01281
0.00100	0.01185
0.00106	0.00959
0.00106	0.00959
0.00106	0.00621
0.00111	0.01378
0.00111	0.01072
0.00117	0.00476
0.00117	0.01168
0.00117	0.00766
0.00122	0.00363
0.00122	0.00895
0.00128	0.00589
0.00128	0.00331
0.00128	0.00057
0.00133	0.00170
0.00133	-0.00056
0.00133	-0.00040
0.00139	0.00315
0.00139	-0.00169
0.00139	-0.00007
0.00144	-0.00007
0.00144	0.00121
0.00150	-0.00152
0.00150	-0.00394
0.00150	0.00057
0.00156	0.00138
0.00156	-0.00426
0.00156	-0.00346
0.00161	-0.00539
0.00161	-0.00169
0.00161	-0.00668
0.00167	-0.00104
0.00167	-0.00313
0.00172	-0.00410
0.00172	-0.00636
0.00172	-0.00636
0.00178	-0.00233
0.00178	-0.00346
0.00183	-0.00185
0.00183	-0.00813
0.00183	-0.00088
0.00189	-0.00410
0.00189	-0.00732
0.00194	-0.00297
0.00194	-0.00458
0.00194	-0.00700
0.00200	0.00331
0.00200	-0.00990
0.00200	-0.00362
0.00206	-0.00893
0.00206	-0.00281
0.00211	-0.00394
0.00211	-0.00555
0.00211	-0.00201
0.00217	-0.00024
0.00217	-0.00378
0.00217	-0.00378
0.00222	-0.00297
0.00222	-0.00265
0.00222	0.00331
0.00228	0.00009
0.00228	0.00444
0.00233	0.00460
0.00233	0.00073
0.00233	0.00138
0.00239	0.00089
0.00239	0.00202
0.00239	0.00492
0.00244	0.01007
0.00244	0.00814
0.00244	0.00492
0.00250	0.01007
0.00250	0.01265
0.00250	0.01136
0.00256	0.01555
0.00256	0.01797
0.00256	0.01233
0.00261	0.01410
0.00261	0.01909
0.00267	0.02216
0.00267	0.02489
0.00267	0.01909
0.00272	0.02441
0.00272	0.02860
0.00272	0.03214
0.00278	0.03359
0.00278	0.03553
0.00283	0.03037
0.00283	0.03714
0.00283	0.03955
0.00289	0.03987
0.00289	0.04052
0.00294	0.04132
0.00294	0.04793
0.00294	0.04809
0.00300	0.04841
0.00300	0.04986
0.00300	0.05260
0.00306	0.05566
0.00306	0.05695
0.00306	0.05228
0.00311	0.05727
0.00311	0.06082
0.00311	0.06082
0.00317	0.06339
0.00317	0.06436
0.00317	0.06645
0.00322	0.07161
0.00322	0.06533
0.00322	0.07322
0.00328	0.07000
0.00328	0.06935
0.00328	0.07386
0.00333	0.07096
0.00333	0.07580
0.00333	0.07886
0.00339	0.08337
0.00339	0.08305
0.00344	0.07870
0.00344	0.08466
0.00344	0.08546
0.00350	0.09142
0.00350	0.08627
0.00356	0.08627
0.00356	0.09062
0.00356	0.09287
0.00361	0.08901
0.00361	0.09416
0.00361	0.09271
0.00367	0.09271
0.00367	0.09368
0.00372	0.09529
0.00372	0.10125
0.00372	0.09851
0.00378	0.10012
0.00378	0.10383
0.00378	0.10238
0.00383	0.10093
0.00383	0.10495
0.00389	0.10221
0.00389	0.10286
0.00389	0.10350
0.00394	0.10656
0.00394	0.10366
0.00394	0.10238
0.00400	0.10318
0.00400	0.10399
0.00400	0.10592
0.00406	0.10930
0.00406	0.10624
0.00406	0.10495
0.00406	0.10673
0.00411	0.10528
0.00411	0.10640
0.00411	0.10753
0.00417	0.10463
0.00417	0.10640
0.00422	0.10801
0.00422	0.10721
0.00422	0.10028
0.00428	0.10383
0.00428	0.10689
0.00428	0.10673
0.00433	0.10656
0.00433	0.10334
0.00439	0.10093
0.00439	0.10093
0.00439	0.09803
0.00444	0.10077
0.00444	0.10173
0.00444	0.09883
0.00450	0.09770
0.00450	0.09078
0.00456	0.09561
0.00456	0.08997
0.00456	0.09722
0.00461	0.09223
0.00461	0.09142
0.00461	0.08868
