Interference and Diffraction Data File Wed, Oct 20, 2021 5:41 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	0.00007
0.00000	-0.00815
0.00000	-0.00218
0.00000	0.00217
0.00000	-0.00090
0.00000	-0.00057
0.00000	-0.00235
0.00000	0.00007
0.00000	-0.00057
0.00000	-0.00025
0.00000	-0.00170
0.00000	-0.00267
0.00000	-0.00041
0.00000	-0.00315
0.00000	-0.00186
0.00006	-0.00073
0.00006	0.00072
0.00006	-0.00073
0.00006	0.00120
0.00006	0.00200
0.00006	-0.00025
0.00006	0.00072
0.00006	-0.00041
0.00006	-0.00347
0.00006	-0.00122
0.00006	-0.00122
0.00011	-0.00299
0.00011	-0.00138
0.00011	0.00088
0.00011	-0.00186
0.00011	-0.00186
0.00011	-0.00057
0.00011	-0.00090
0.00011	-0.00025
0.00011	-0.00267
0.00011	-0.00202
0.00011	-0.00138
0.00017	-0.00057
0.00017	-0.00267
0.00017	-0.00025
0.00017	0.00007
0.00017	-0.00106
0.00017	-0.00218
0.00017	-0.00122
0.00017	-0.00122
0.00017	-0.00170
0.00017	0.00007
0.00017	-0.00122
0.00022	0.00265
0.00022	0.00152
0.00022	-0.00170
0.00022	0.00007
0.00022	0.00120
0.00022	-0.00235
0.00022	-0.00009
0.00022	0.00007
0.00022	-0.00154
0.00022	-0.00090
0.00022	-0.00170
0.00028	0.00007
0.00028	0.00055
0.00028	0.00088
0.00028	0.00088
0.00028	0.00104
0.00028	-0.00041
0.00028	0.00088
0.00028	0.00007
0.00028	0.00007
0.00028	-0.00186
0.00028	0.00233
0.00033	-0.00267
0.00033	0.00184
0.00033	0.00136
0.00033	0.00039
0.00033	-0.00073
0.00033	0.00088
0.00033	-0.00057
0.00033	-0.00009
0.00033	-0.00122
0.00033	0.00023
0.00033	-0.00235
0.00039	-0.00235
0.00039	-0.00106
0.00039	-0.00090
0.00039	-0.00073
0.00039	-0.00347
0.00039	-0.00186
0.00039	-0.00073
0.00039	0.00072
0.00039	0.00055
0.00039	-0.00106
0.00039	-0.00073
0.00044	-0.00025
0.00044	0.00023
0.00044	0.00168
0.00044	-0.00138
0.00044	-0.00073
0.00044	0.00265
0.00044	-0.00009
0.00044	-0.00041
0.00044	0.00233
0.00044	-0.00186
0.00044	-0.00041
0.00050	-0.00073
0.00050	0.00217
0.00050	0.00152
0.00050	0.00297
0.00050	0.00152
0.00050	0.00458
0.00050	0.00120
0.00050	0.00039
0.00050	0.00088
0.00050	0.00313
0.00050	0.00442
0.00056	0.00233
0.00056	0.00152
0.00056	-0.00041
0.00056	0.00152
0.00056	0.00023
0.00056	0.00039
0.00056	-0.00525
0.00056	0.00088
0.00056	0.00120
0.00056	-0.00041
0.00056	-0.00041
0.00061	0.00120
0.00061	0.00200
0.00061	-0.00025
0.00061	-0.00235
0.00061	-0.00331
0.00061	-0.00025
0.00061	0.00072
0.00061	0.00088
0.00061	0.00023
0.00061	-0.00218
0.00061	-0.00235
0.00067	-0.00041
0.00067	0.00281
0.00067	-0.00138
0.00067	-0.00106
0.00067	-0.00347
0.00067	-0.00106
0.00067	-0.00363
0.00067	-0.00025
0.00067	-0.00170
0.00067	0.00055
0.00072	0.00039
0.00072	0.00104
0.00072	0.00345
0.00072	0.00055
0.00072	0.00329
0.00072	0.00265
0.00072	0.00104
0.00072	0.00152
0.00072	0.00442
0.00072	0.00313
0.00072	0.00217
0.00078	0.00233
0.00078	0.00249
0.00078	0.00426
0.00078	0.00104
0.00078	0.00184
0.00078	0.00217
0.00078	0.00072
0.00078	0.00039
0.00078	0.00748
0.00078	0.00088
0.00078	-0.00090
0.00083	0.00168
0.00083	-0.00154
0.00083	0.00136
0.00083	-0.00041
0.00083	-0.00138
0.00083	-0.00106
0.00083	-0.00057
0.00083	0.00136
0.00083	-0.00621
0.00083	-0.00170
0.00089	0.00023
0.00089	-0.00235
0.00089	-0.00363
0.00089	-0.00025
0.00089	0.00184
0.00089	0.00329
0.00089	0.00055
0.00089	-0.00009
0.00089	-0.00170
0.00089	0.00861
0.00089	0.00120
0.00094	0.00104
0.00094	0.00200
0.00094	0.00233
0.00094	0.00313
0.00094	-0.00412
0.00094	0.00184
0.00094	0.00152
0.00094	0.00329
0.00094	0.00410
0.00094	0.00184
0.00100	0.00426
0.00100	0.00200
0.00100	0.00088
0.00100	0.00329
0.00100	0.00539
0.00100	0.00249
0.00100	0.00442
0.00100	0.00378
0.00100	0.00233
0.00100	0.00249
0.00100	0.00249
0.00106	-0.00073
0.00106	0.00555
0.00106	-0.00154
0.00106	0.00281
0.00106	0.00281
0.00106	0.00281
0.00106	0.00120
0.00106	-0.00057
0.00106	0.00039
0.00106	-0.00073
0.00106	-0.00202
0.00111	0.00152
0.00111	-0.00122
0.00111	0.00007
0.00111	-0.00057
0.00111	-0.00170
0.00111	-0.00235
0.00111	-0.00025
0.00111	0.00023
0.00111	-0.00025
0.00111	-0.00170
0.00117	0.00055
0.00117	0.00023
0.00117	0.00023
0.00117	-0.00090
0.00117	0.00297
0.00117	-0.00009
0.00117	0.00072
0.00117	-0.00009
0.00117	0.00055
0.00117	-0.00009
0.00117	0.00345
0.00122	0.00458
0.00122	0.00104
0.00122	0.00378
0.00122	0.00474
0.00122	0.00184
0.00122	0.00394
0.00122	0.00523
0.00122	0.00442
0.00122	0.00329
0.00122	0.00281
0.00122	0.00329
0.00128	0.00313
0.00128	-0.00122
0.00128	0.00055
0.00128	0.00200
0.00128	0.00152
0.00128	0.00168
0.00128	0.00362
0.00128	0.00426
0.00128	0.00120
0.00128	-0.00057
0.00128	-0.00202
0.00128	0.00184
0.00133	-0.00090
0.00133	0.00007
0.00133	-0.00009
0.00133	0.00104
0.00133	0.00104
0.00133	0.00104
0.00133	0.00055
0.00133	-0.00122
0.00133	-0.00218
0.00133	0.00055
0.00139	0.00055
0.00139	-0.00090
0.00139	-0.00154
0.00139	-0.00218
0.00139	0.00072
0.00139	-0.00267
0.00139	-0.00009
0.00139	0.00152
0.00139	-0.00041
0.00139	0.00055
0.00139	0.00120
0.00144	0.00184
0.00144	-0.00090
0.00144	0.00281
0.00144	0.00055
0.00144	0.00072
0.00144	0.00329
