Interference and Diffraction Data File Wed, Oct 20, 2021 5:31 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	0.01602
0.00000	0.01489
0.00000	0.01683
0.00000	0.01618
0.00000	0.01183
0.00000	0.01505
0.00000	0.01425
0.00000	0.01312
0.00000	0.01489
0.00000	0.01634
0.00000	0.01328
0.00000	0.01602
0.00006	0.01521
0.00006	0.01280
0.00006	0.01731
0.00006	0.01199
0.00006	0.01457
0.00006	0.01473
0.00006	0.01264
0.00006	0.01377
0.00006	0.01087
0.00006	0.01183
0.00006	0.01457
0.00011	0.01296
0.00011	0.01199
0.00011	0.01280
0.00011	0.01022
0.00011	0.01135
0.00011	0.01280
0.00011	0.01054
0.00011	0.01215
0.00011	0.00829
0.00011	0.00990
0.00011	0.00732
0.00017	0.01070
0.00017	0.00764
0.00017	0.00764
0.00017	0.00507
0.00017	0.00329
0.00017	0.00490
0.00017	0.00362
0.00017	0.00345
0.00017	0.00700
0.00017	0.00362
0.00022	0.00442
0.00022	0.00410
0.00022	0.00233
0.00022	0.00265
0.00022	0.00184
0.00022	0.00313
0.00022	0.00233
0.00022	0.00378
0.00022	0.00378
0.00022	-0.00396
0.00028	0.00120
0.00028	0.00072
0.00028	0.00039
0.00028	0.00120
0.00028	0.00200
0.00028	0.00297
0.00028	-0.00025
0.00028	-0.00057
0.00028	0.00072
0.00028	0.00072
0.00028	0.00104
0.00033	0.00104
0.00033	0.00184
0.00033	0.00329
0.00033	0.00265
0.00033	-0.00508
0.00033	0.00313
0.00033	0.00152
0.00033	0.00168
0.00033	0.00345
0.00033	0.00313
0.00033	0.00426
0.00039	0.00265
0.00039	0.00329
0.00039	0.00362
0.00039	0.00458
0.00039	0.00200
0.00039	0.00297
0.00039	0.00668
0.00039	0.00072
0.00039	0.00200
0.00039	0.00442
0.00039	0.00136
0.00044	0.00345
0.00044	0.00152
0.00044	0.00249
0.00044	0.00345
0.00044	0.00603
0.00044	0.00426
0.00044	0.00362
0.00044	0.00458
0.00044	0.00474
0.00044	0.00297
0.00050	0.00587
0.00050	0.00394
0.00050	0.00877
0.00050	0.00603
0.00050	0.00748
0.00050	0.00716
0.00050	0.00861
0.00050	0.01006
0.00050	0.01199
0.00050	0.01215
0.00056	0.00958
0.00056	0.01183
0.00056	0.01521
0.00056	0.01425
0.00056	0.01908
0.00056	0.01650
0.00056	0.01940
0.00056	0.02005
0.00056	0.02069
0.00056	0.01892
0.00056	0.02246
0.00061	0.02085
0.00061	0.02037
0.00061	0.02182
0.00061	0.02069
0.00061	0.01924
0.00061	0.02118
0.00061	0.01844
0.00061	0.01763
0.00061	0.01844
0.00061	0.01683
0.00061	0.01763
0.00067	0.01876
0.00067	0.01505
0.00067	0.01441
0.00067	0.01409
0.00067	0.01151
0.00067	0.01457
0.00067	0.01038
0.00067	0.01167
0.00067	0.01296
0.00067	0.01666
0.00067	0.01538
0.00072	0.01828
0.00072	0.01892
0.00072	0.01940
0.00072	0.02214
0.00072	0.02295
0.00072	0.02520
0.00072	0.02698
0.00072	0.03100
0.00072	0.03519
0.00072	0.03809
0.00072	0.04051
0.00078	0.04518
0.00078	0.04808
0.00078	0.04985
0.00078	0.05469
0.00078	0.05678
0.00078	0.05485
0.00078	0.05887
0.00078	0.06274
0.00078	0.06306
0.00078	0.06306
0.00078	0.06435
0.00083	0.06338
0.00083	0.06403
0.00083	0.06242
0.00083	0.06306
0.00083	0.06193
0.00083	0.06226
0.00083	0.06242
0.00083	0.06049
0.00083	0.05887
0.00083	0.05952
0.00083	0.05920
0.00089	0.05307
0.00089	0.05082
0.00089	0.04872
0.00089	0.04309
0.00089	0.04212
0.00089	0.03922
0.00089	0.03584
0.00089	0.03487
0.00089	0.03455
0.00089	0.02826
0.00089	0.02971
0.00094	0.02762
0.00094	0.02746
0.00094	0.02440
0.00094	0.02730
0.00094	0.02843
0.00094	0.02746
0.00094	0.01973
0.00094	0.02988
0.00094	0.03310
0.00094	0.03503
0.00094	0.03616
0.00094	0.04276
0.00100	0.04631
0.00100	0.05162
0.00100	0.05533
0.00100	0.06161
0.00100	0.06435
0.00100	0.06886
0.00100	0.07305
0.00100	0.07837
0.00100	0.08256
0.00100	0.08707
0.00100	0.08964
